Course ID,Course,Subject,Course No,Min Credits,Course Levels,Current Status,Short Title,Long Title,Schools,Division,Department,Acad Lvl,Yearly Cycle,Session Cycle,Reg Restrictions,Course Types,Natl ID,Terms Offered,Last Term Offered,Start Date,End Date,Description
17,ACCT-3323,ACCT,3323,3,3,A,Managerial Accounting,Managerial Accounting,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,1999SP,1999SP,1/1/1950,,"Prerequisite: ACCT-2213. Study of the use of cost , accounting data as a tool for planning, control, , and decision making by managers. Topics studied , include the nature of costs and their behavior; , design of job-order and process cost accounting , systems; cost-volume-profit relationships and , profit planning; segmented reporting; comparison , of direct costing with absorption costing; , control of operations through standard costs and , flexible budgets; pricing of products and , services; relevant costs for decision-making and , capital budgeting. This course is offered as , needed."
19,ACCT-3413,ACCT,3413,3,3,A,Income Taxation,Income Taxation,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2022FA, 2021FA, 2020FA, 2019FA, 2018FA, 2017FA, 2016FA, 2015FA, 2014FA, 2013FA, 2012FA, 2011FA, 2010FA, 2009FA, 2008FA, 2007FA, 2007SP, 2006FA, 2005FA, 2004FA, 2003FA, 2002FA, 2001FA, 2000FA, 1999FA, 1999SP",2022FA,1/1/1950,,"Prerequisite: ACCT-2213. An introduction to the , federal income tax, considering income, , deductions, payment of tax, and other matters , relating to personal income tax returns. This , course is normally offered fall semester."
20,ACCT-3513,ACCT,3513,3,3,A,Advanced Federal Taxation,Advanced Federal Taxation,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022SP, 2021SP, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011SP, 2010SP, 2004SP, 2003SP, 2002SP, 2001SP, 2000SP, 1999SU2, 1999SP",2023SP,1/1/1950,,"Prerequisite: ACCT-3413. A continuation of the , study of the federal income tax as it relates to , corporations, partnerships and fiduciaries. Also , included is the study of more specialized income , tax problems and the federal Social Security, , estate, and gift taxes. This course is normally , offered spring semester."
21,ACCT-3713,ACCT,3713,3,3,A,Accounting Information Systems,Accounting Information Systems,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022SU, 2022SP, 2021SU, 2021SP, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011SP, 2010SP, 2000FA, 1999FA",2023SP,1/1/1950,,"Prerequisite: ACCT-3113. Concepts underlying the , analysis, design, use, control and audit of , accounting information systems. The flow of , accounting information through computerized , information systems is emphasized. This course is , normally offered in the spring semester."
25,ACCT-4113,ACCT,4113,3,4,A,Advanced Accounting I,Advanced Accounting I,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2022FA, 2021FA, 2020FA, 2019FA, 2018FA, 2017FA, 2016FA, 2015FA, 2014FA, 2013FA, 2012FA, 2011FA, 2010FA, 2009FA, 2008FA, 2007FA, 2006FA, 2005FA, 2004FA, 2003FA, 2002FA, 2001FA, 2000FA, 1999FA",2022FA,1/1/1950,,"Prerequisite: ACCT-3113. A study of the , application and theory of budgetary and fund , accounting, with emphasis on governmental and , not-for-profit entities. Other specialized , accounting applications involving foreign , operations and partnership accounting are also , examined. This course is normally offered fall , semester."
27,ACCT-4213,ACCT,4213,3,4,A,Advanced Accounting II,Advanced Accounting II,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022SP, 2021SP, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011SP, 2010SP, 2008SP, 2007SP, 2006SP, 2005SP, 2004SP, 2003SP, 2002FA, 2002SP, 2001SP, 2000SP, 1999SP",2023SP,1/1/1950,,"Prerequisite: ACCT-3113. A study of advanced , accounting problems related to consolidations, , mergers, acquisitions, branch operations, segment , reporting, interim reporting, and the Securities , and Exchange Commission. This course is normally , offered in the spring semester."
28,ACCT-4313,ACCT,4313,3,4,A,Advanced Cost,Advanced Cost Accounting,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2020SU, 2019SU, 2018SU, 2017SU, 2016SU, 2015SU, 2014SU, 2013SU, 2012FA, 2012SU, 2011SU, 2010SU, 2009SU, 2008SU1, 2007SU, 2006SU1, 2005SU1, 2004SU1, 2003SU",2020SU,1/1/1950,,"Prerequisite: ACCT-3313. Additional study in the , development of cost and managerial accounting , data for use in planning, control, and decision , making by managers. The course includes the use , of such tools as linear regression, simulation, , and linear programming. It also covers capital , budgeting, segment performance, and , decision-making behavior under uncertainty. This , course is normally offered in the summer semester."
30,ACCT-4413,ACCT,4413,3,4,A,Auditing,Auditing,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2022FA, 2021FA, 2020FA, 2019FA, 2018FA, 2017FA, 2016FA, 2015FA, 2014FA, 2013FA, 2012FA, 2011FA, 2010FA, 2010SU, 2009FA, 2008FA, 2007FA, 2006FA, 2005FA, 2004FA, 2003FA, 2002FA, 2001FA, 2000FA, 1999FA",2022FA,1/1/1950,,"Prerequisite: ACCT-3113. Preparation toward a , professional accounting career as a Certified , Public Accountant in examining and rendering , professional opinions on the fairness of , organizations' financial statements. The course , emphasizes the nature of auditing, internal , control systems, auditing techniques and , evidence, audit working papers and reports, and , professional ethics and independence. This course , is normally offered in the fall semester."
4638,ACCT-4423,ACCT,4423,3,4,A,Ethics and Auditing Concepts,Ethics and Auditing Concepts,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2020SU, 2019SU, 2018SU, 2017SU, 2016SU, 2015SU, 2014SU, 2013SU, 2013SP, 2012SU, 2012SP, 2011SU, 2010SU, 2009SU",2020SU,5/1/2009,,"Prerequisite: ACCT-3113. The course is designed , to help students cultivate the ethical commitment , needed to ensure that their work meets the , highest standard of integrity, independence, and , objectivity. Detailed analysis of the need for , integrity as the basis for ethics will be , covered, as will the various concepts of ethical , reasoning. Ethical decision making in business , and accounting will be explored, with emphasis , given to the areas of independence and , objectivity. This course is normally offered in , the summer semester."
34,ACCT-4433,ACCT,4433,3,4,A,Income Tax Planning & Research,Income Tax Planning and Research,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,,,1/1/1950,,"Prerequisite: ACCT-3513. A specialized study in , the areas of tax planning and research. Emphasis , is given to legal ways to minimize tax liability , through yearly planning, elections, and deferral , of income. Extensive computerized tax research is , performed to aid in tax planning. This course is , offered as needed."
5136,ACCT-4513,ACCT,4513,3,4,A,Financial Acct Statement Analy,Financial Accounting Statesment Analysi,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022SP, 2021SP, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP, 2014SP, 2013SP",2023SP,10/1/2012,,"Prerequisite: ACCT-3113. An in-depth study of , contemporary accounting theory with primary , emphasis on the pronouncements of the Financial , Accounting Standards Board. The main objective is , to gain deeper insights into the theory and , critical analysis underlying Generally Accepted , Accounting Principles and to apply them to , financial statement preparation. Study centers on , selected parts of the following FASB , pronouncements: 1. statements of Financial , Accounting Standards, 2. interpretations of ARBs, , APB Opinions and FASB Statements of Standards, 3. , technical bulletins, and 4. statements of , Financial Accounting Concepts. This course is , normally offered in the spring semester."
37,ACCT-4900,ACCT,4900,1,4,A,Independent Study in Accnting,Independent Study in Accounting,PROF,BUSI,BUSI,UG,A,A,LEVEL,IS,52.0301,,,1/1/1950,,"Assigned readings, reports and research projects , based on the needs of the student. A maximum of 3 , hours may be counted toward major. 1-3 semester , hours; 50 hours work required for each hour of , credit earned, with a maximum of 3 credit hours. , This course is offered as needed."
418,ACCT-4901,ACCT,4901,1,4,A,Independent Study Acct,Independent Study Acct,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2014FA, 2014SU, 2013FA, 2013SU, 2012SU, 2006SU3, 2001FA",2014FA,1/1/1950,,
422,ACCT-4902,ACCT,4902,2,4,A,Independnt Stdy Acct,Independnt Stdy Acct,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,,,1/1/1950,,
427,ACCT-4903,ACCT,4903,3,4,A,Is: Finan Statemnt Prep & Anan,"Independnt Stdy Acct, Is: Financial Statement Preparation &, Analysis",PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2013FA, 2012FA, 2008SP, 2007SU, 2006FA, 2005FA, 1999FA, 1999SP",2013FA,1/1/1950,,
43,ACCT-4990,ACCT,4990,1,4,A,Internship in Accounting,Internship in Accounting,PROF,BUSI,BUSI,UG,A,A,LEVEL,INTRN,52.0301,,,1/1/1950,,"Prerequisites: Admission to College of Business , Administration Upper Division, completion of , ACCT-3113 and approval of the advisor and dean. , Supervised and approved accounting internship , with firm or organization; written and oral , reports are required along with employer , evaluation. 30 hours of work required for each , hour of credit with a maximum of 3 credit hours. , This course is offered as needed."
433,ACCT-4991,ACCT,4991,1,4,A,Intershp in Acctng,Intershp in Acctng,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022FA, 2022SU, 2022SP, 2021FA, 2021SU, 2021SP, 2020FA, 2020SU, 2020SP, 2019FA, 2019SU, 2019SP, 2018FA, 2018SU, 2018SP, 2017SU, 2017SP, 2016SP, 2015SP, 2014SU, 2013SU, 2009FA, 2008FA, 2007SP, 2006FA, 2006SP, 2005FA",2023SP,1/1/1950,,
434,ACCT-4992,ACCT,4992,2,4,A,Internshp in Acctng,Internshp in Acctng,PROF,BUSI,BUSI,UG,,A,LEVEL,STND,52.0301,"2023SP, 2022SU, 2022SP, 2021SU, 2021SP, 2020SU, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2014FA, 2014SP, 2013FA, 2013SP, 2011SU, 2010FA, 2010SU, 2010SP, 2009SP, 2006FA, 2006SP",2023SP,1/1/1950,,
435,ACCT-4993,ACCT,4993,3,4,A,Internship in Accounting,Internship in Accounting,PROF,BUSI,BUSI,UG,A,A,LEVEL,STND,52.0301,"2023SP, 2022FA, 2022SU, 2022SP, 2021FA, 2021SU, 2021SP, 2020FA, 2020SU, 2020SP, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SP, 2016FA, 2016SP, 2015FA, 2014SP, 2013FA, 2013SP, 2012FA, 2012SP, 2011FA, 2011SP, 2010FA, 2010SP, 2009SU, 2008SU, 2008SP, 2007FA, 2007SP, 2006SP, 2005SP, 1999SP",2023SP,1/1/1950,,
4088,ACCT-4994,ACCT,4994,4,4,A,IS: Accounting,IS: Accounting,PROF,BUSI,BUSI,UG,,,LEVEL,IS,52.0301,2006SP,2006SP,1/1/1950,,
5389,ACCT-5003,ACCT,5003,3,5,A,Issues in Advanced Accounting,Issues in Advanced Accounting Concepts,PROF,BUSI,BUSI,GR,A,A,LEVEL,STND,52.0301,,,1/25/2000,,
2785,ACCT-5103,ACCT,5103,3,5,A,Accounting Analytics,Accounting Analytics,PROF,BUSI,BUSI,GR,A,A,LEVEL,STND,52.0301,"2023SP, 2022FA, 2022SP, 2021FA, 2021SP, 2020FA, 2020SP, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SP, 2016FA, 2016SP, 2015FA, 2015SP, 2014FA, 2014SP, 2013FA, 2013SP, 2012FA, 2012SU, 2012SP, 2011FA, 2011SP, 2010FA, 2010SP, 2009FA, 2008FA, 2008SP, 2007FA, 2007SP, 2006FA, 2006SP, 2005FA, 2005SP, 2004FA, 2004SU1, 2004SP, 2003FA, 2003SP, 2002FA, 2002SP, 2001FA, 2001SP, 2000FA",2023SP,1/25/2000,,"The course will provide the skills to assist in, evaluating issues related to a company's financing, and operating activities.  The course will also, focus on how managers can effectively use, accounting information and analytical tools to, improve performance."
5159,ACCT-5113,ACCT,5113,3,5,A,Advanced Tax Accounting,Advanced Tax Accounting,PROF,BUSI,BUSI,GR,A,A,"LEVEL, MAC.MBA",STND,,"2022WI, 2022SU, 2021SU, 2020SU, 2019SU, 2018SU, 2017SU, 2016SU, 2015SU, 2014SU, 2013SU",2022WI,2/26/2013,,"This course is a review of relevant tax topics., The areas of the taxation of individuals,, corporations, partnerships, S corporations,, property transactions, and gifts and estates will, be covered."
2794,ACCT-5123,ACCT,5123,3,5,A,Adv Auditing & Profes. Ethics,"Advanced Auditing and Professional, Ethics",PROF,BUSI,BUSI,GR,A,A,"LEVEL, MAC.MBA",STND,52.0301,"2022SU, 2021SU, 2020SU, 2019SU, 2018SU, 2017SU, 2016SU, 2015SU, 2014SU, 2013SU, 2012SU, 2011SU, 2010SU, 2009SU, 2008SU, 2007SU, 2006SU1, 2005SU1, 2004SU1, 2003SU, 2002SU, 2001SU1",2022SU,1/25/2000,,"This course studies advanced concepts, theories,, and techniques applied to external financial,, governmental, and internal audit engagements., Ethical issues in accounting are discussed."
3581,ACCT-5133,ACCT,5133,3,5,A,Advanced Financial Accounting,Advanced Financial Accounting,PROF,BUSI,BUSI,GR,A,A,"LEVEL, MAC.MBA",STND,52.0301,"2022WI, 2022FA, 2022SU, 2021WI, 2021FA, 2021SU, 2020SU, 2019SU, 2018SU, 2017SU, 2016SU, 2015SU, 2014SU, 2013SU, 2012SU, 2011SU, 2010SU, 2009SU, 2008SU, 2007SU, 2006SU1, 2005SU3, 2004SU3, 2003SU",2022WI,4/28/2003,,"This course studies advanced concepts and, techniques applied to consolidations theory and, practice. Emphasis is on real-world applications, of how information supports managerial, decision-making."
5214,ACCT-5143,ACCT,5143,3,5,A,Topics in Accounting,Topics in Accounting,PROF,BUSI,BUSI,GR,A,A,"LEVEL, MAC.PRE",STND,52.0301,"2023SP, 2022FA, 2022SP, 2021FA, 2021SP, 2020FA, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP",2023SP,4/30/2014,,
5215,ACCT-5153,ACCT,5153,3,5,A,Accounting Theory,Accounting Theory,PROF,BUSI,BUSI,GR,A,A,"LEVEL, MAC.PRE",STND,52.0301,"2022WI, 2022FA, 2021WI, 2021FA, 2020FA, 2019FA, 2018FA, 2017FA, 2016FA, 2015FA, 2014FA",2022WI,4/30/2014,,
5216,ACCT-5163,ACCT,5163,3,5,A,Accounting Research and Quant.,Accounting Research and Quantitative Tch,PROF,BUSI,BUSI,GR,A,A,"LEVEL, MAC.PRE",STND,52.0301,"2022FA, 2022SU, 2021FA, 2021SU, 2020FA, 2020SU, 2019FA, 2019SU, 2018SU, 2017SU, 2016SU, 2015SU, 2014SU",2022FA,4/30/2014,,
4933,ACCT-5803,ACCT,5803,3,5,A,Special Topics in Accounting,Special Topics in Accounting,PROF,BUSI,BUSI,GR,A,A,LEVEL,,52.0301,,,5/1/2011,,
5213,ACCT-5901,ACCT,5901,1,5,A,Grad Bus Practicum in Acct,"Graduate Business Practicum in, Accounting",PROF,BUSI,BUSI,GR,A,A,LEVEL,STND,52.0301,"2022FA, 2021FA, 2020FA, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SP, 2016FA, 2016SU, 2016SP, 2015FA, 2015SU, 2015SP, 2014FA, 2014SU",2022FA,1/6/2014,,"Prerequisite: Student must be in the accounting, emphasis., This course provides one to three hours of credit, in association with completion of an acceptable, accounting industry internship/practicum. Students, selecting this option will be responsible for, locating an appropriate industry opportunity. This, is an optional course and does not substitute for, any leveling, core, or elective courses. The, curriculum practical training course, period extends through an entire semester."
3332,ARTS-0011,ARTS,11,1,"1, 2",A,Arts Lower Division,Arts Lower Division,HBIBL,FPART,ARDS,UG,,,LEVEL,EQIV,,,,1/1/2001,,
3420,ARTS-0012,ARTS,12,2,"1, 2",A,Arts Lower Division,Arts Lower Division,HBIBL,FPART,ARDS,UG,A,A,LEVEL,EQIV,,,,1/1/2001,,
3155,ARTS-0013,ARTS,13,3,"1, 2",A,Arts Lower Division,Arts Lower Division,HBIBL,FPART,ARDS,UG,,,LEVEL,EQIV,50.0799,"2011FA, 2008SP",2011FA,1/1/1950,,
3468,ARTS-0014,ARTS,14,4,"1, 2",A,Arts Lower Division,Arts Lower Division,HBIBL,FPART,ARDS,UG,A,A,LEVEL,EQIV,,,,1/1/2001,,
3917,ARTS-0015,ARTS,15,5,"1, 2",A,Arts Lower Division,Arts Lower Division,HBIBL,FPART,ARDS,UG,,,LEVEL,EQIV,,,,1/1/2001,,
4543,ARTS-0022,ARTS,22,2,"3, 4",A,Arts Upper Division,Arts Upper Division,HBIBL,FPART,ARDS,UG,,,LEVEL,EQIV,,,,1/1/2001,,
3156,ARTS-0023,ARTS,23,3,"3, 4",A,Arts Upper Division,Arts Upper Division,HBIBL,FPART,ARDS,UG,,,LEVEL,EQIV,,2011FA,2011FA,1/1/1950,,
5741,ARTS-0025,ARTS,25,5,"3, 4",A,Arts Upper Division,Arts Upper Division,HBIBL,FPART,ARDS,UG,,,LEVEL,EQIV,50.0701,,,1/1/1950,,
5742,ARTS-0053,ARTS,53,3,5,A,Arts - Graduate,Arts - Graduate,HBIBL,FPART,ARDS,GR,,,LEVEL,EQIV,50.0701,,,1/1/1950,,
5743,ARTS-0055,ARTS,55,5,5,A,Arts - Graduate,Arts - Graduate,HBIBL,FPART,ARDS,GR,,,LEVEL,EQIV,50.0701,,,1/1/1950,,
39,ARTS-1013,ARTS,1013,3,1,A,Learn to Paint,Learn to Paint,HBIBL,FPART,ARDS,UG,,,LEVEL,,50.0799,,,8/31/1998,,
5768,ARTS-1103,ARTS,1103,3,1,A,Digital Imaging I,Digital Imaging I,HBIBL,FPART,ARDS,UG,A,FU,LEVEL,STND,50.0799,"2023SP, 2022FA, 2022SU, 2021FA, 2021SU, 2021SP, 2020FA",2023SP,1/1/2020,,"An Introduction to the use of computer hardware, and software for the production of visual images."
3422,ARTS-1113,ARTS,1113,3,1,A,Fundamentals of Drawing,Fundamentals of Drawing,HBIBL,FPART,ARDS,UG,A,F,LEVEL,STND,50.0799,"2022FA, 2022SU, 2021FA, 2021SU, 2020FA, 2020SU, 2019FA, 2019SU, 2018FA, 2018SU, 2017FA, 2017SU, 2016FA, 2016SU, 2015FA, 2015SP, 2014FA, 2014SP, 2013FA, 2013SP, 2012FA, 2012SU, 2012SP, 2011FA, 2011SP, 2010FA, 2010SP, 2009FA, 2008FA, 2007FA, 2006FA, 2005FA, 2004FA, 2003FA, 2002FA",2022FA,8/15/2002,,"An introduction to the fundamental approaches to , drawing with attention given to the concepts and , processes that constitute the language of visual , expression. This course is normally offered in , the fall semester."
5828,ARTS-1123,ARTS,1123,3,1,A,Culture of Esports and Gaming,Culture of Esports and Gaming,HBIBL,FPART,ARDS,UG,,,LEVEL,STND,50.0799,,,1/1/2020,,
3423,ARTS-1213,ARTS,1213,3,1,A,Figure Drawing,Figure Drawing,HBIBL,FPART,ARDS,UG,A,S,LEVEL,STND,50.0799,"2023SP, 2022SU, 2022SP, 2021SU, 2021SP, 2020SU, 2020SP, 2019SU, 2019SP, 2018SU, 2018SP, 2017SP, 2016FA, 2016SU, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011SP, 2010SP, 2009SP, 2008SP, 2007SP, 2006SP, 2005SP, 2004SP, 2003SP",2023SP,8/15/2002,,"A study of the human form with attention given to , the concepts and processes that constitute the , language of visual expression. This course is , normally offered in the spring semester."
4131,ARTS-1413,ARTS,1413,3,1,A,Elements of Visual Thinking,Elements of Visual Thinking,HBIBL,FPART,ARDS,UG,A,S,LEVEL,STND,50.0799,"2023SP, 2022SU, 2022SP, 2021SU, 2021SP, 2020SU, 2020SP, 2019SP, 2018SP, 2017SP, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011SP, 2010SP, 2009SP, 2008SP, 2007SP",2023SP,8/1/2006,,"A study of the elements of art. Studio work , includes two-dimensional experimentation and , exercises that nurture creative visual , expression, which integrate critical discourse , through the development of the language of art , and design. This course is normally offered in , the spring semester."
72,ARTS-1623,ARTS,1623,3,1,A,Intro to Interior Design,Introduction to Interior Design,HBIBL,FPART,ARDS,UG,A,F,LEVEL,STND,19.0601,"2022FA, 2021FA, 2020FA, 2019FA, 2018FA, 2017FA, 2016FA, 2015FA, 2014FA, 2013FA, 2012FA, 2011FA, 2010FA, 2009FA, 2008FA, 2007FA, 2006FA, 2005FA, 2004FA, 2003FA, 2003SP, 2002SP, 2000FA, 1999FA",2022FA,1/1/1950,,"An overview of the interior design profession and , an introduction to basic graphic communication , skills, including hand drafting, with experiences , in observing professional designers, producing , scaled drawings of floor plans, and application , of the elements and principles of design. This , course is normally offered in the fall semester."
4134,ARTS-1643,ARTS,1643,3,1,A,"Int Textiles,materials,finishe","Interior Textiles, Materials, and, Finishes",HBIBL,FPART,ARDS,UG,O,S,LEVEL,STND,19.0601,"2023SP, 2022FA, 2022SP, 2021FA, 2021SP, 2020FA, 2020SP, 2019FA, 2019SP, 2018FA, 2018SP, 2017FA, 2017SU, 2017SP, 2016FA, 2016SU, 2016SP, 2015SP, 2014SP, 2013SP, 2012SP, 2011SP, 2010SP, 2008SP, 2007SP",2023SP,8/1/2006,,"A study of interior textiles (fabrics and , upholstery). Fabric content, properties, , construction process, dyeing, and printing are , examined. Basic building materials (wood, glass, , metal, masonry, etc.) as well as wall coverings , and hard floor treatments and their properties , and uses will be addressed. Students will learn , through case studies and examples to measure and , figure correct amounts of materials to order. , This course is normally offered in the spring , semester."
